"filename", "language", "PHP", "HTML", "JavaScript", "PostCSS", "YAML", "comment", "blank", "total"
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\.github\workflows\deploycPanel.yml", "YAML", 0, 0, 0, 0, 20, 0, 2, 22
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\auth_status.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\briksdalen.html", "HTML", 0, 53, 0, 0, 0, 0, 5, 58
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\bus.css", "PostCSS", 0, 0, 0, 34, 0, 0, 10, 44
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\bus.html", "HTML", 0, 35, 0, 0, 0, 0, 8, 43
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\bus.js", "JavaScript", 0, 0, 228, 0, 0, 1, 31, 260
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\calendar.js", "JavaScript", 0, 0, 117, 0, 0, 0, 33, 150
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\calendar_back.php", "PHP", 78, 0, 0, 0, 0, 0, 17, 95
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\calendar_form_back.php", "PHP", 72, 0, 0, 0, 0, 0, 17, 89
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\calendar_form_front.php", "PHP", 69, 0, 0, 0, 0, 0, 14, 83
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\calendar_front.php", "PHP", 97, 0, 0, 0, 0, 0, 12, 109
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\components.js", "JavaScript", 0, 0, 96, 0, 0, 0, 9, 105
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\db.php", "PHP", 16, 0, 0, 0, 0, 2, 3, 21
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\auth_status.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\briksdalen.html", "HTML", 0, 54, 0, 0, 0, 0, 9, 63
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\briksdalen.js", "JavaScript", 0, 0, 131, 0, 0, 0, 6, 137
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\bus.html", "HTML", 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\calendar.js", "JavaScript", 0, 0, 116, 0, 0, 0, 33, 149
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\calendar_back.php", "PHP", 92, 0, 0, 0, 0, 0, 18, 110
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\calendar_form_back.php", "PHP", 72, 0, 0, 0, 0, 0, 17, 89
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\calendar_form_front.php", "PHP", 69, 0, 0, 0, 0, 0, 14, 83
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\calendar_front.php", "PHP", 97, 0, 0, 0, 0, 0, 12, 109
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\components.js", "JavaScript", 0, 0, 95, 0, 0, 0, 9, 104
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\db.php", "PHP", 16, 0, 0, 0, 0, 2, 3, 21
"c:\Users\Bruker\OneDrive - Vestland fylkeskommune\Documents\GitHub\Havard-Tonning.github.io\en\faq.html", "HTML", 0, 105, 0, 0, 0, 0, 19, 124
